id,purchase,test,imp_1,imp_2,imp_3,imp_4,imp_5,imp_6,sum1to5
545716,1,1,0,1,0,0,0,0,1
893524,1,1,1,0,0,17,0,1,18
1372718,1,1,0,0,0,10,0,0,10
971359,1,1,14,37,1,7,0,7,59
59999,1,1,0,0,0,13,0,0,13
842034,1,0,0,1,0,0,0,0,1
731724,0,1,2,272,0,18,0,2,292
49425,0,0,0,0,0,0,0,1,0
1351203,1,1,97,214,0,11,3,13,325
357681,0,1,0,0,0,0,0,2,0
429636,0,1,0,2,0,0,0,0,2
433607,1,0,0,0,0,0,0,2,0
1101847,0,1,0,0,0,0,0,1,0
867427,1,1,0,6,0,0,0,0,6
68980,0,1,0,0,0,0,0,3,0
848782,1,1,0,0,0,14,0,0,14
979407,1,1,0,6,0,0,0,0,6
960829,0,1,0,3,0,0,0,0,3
1003305,0,1,1,0,0,0,0,1,1
1324641,1,1,8,2,0,0,0,0,10
838271,1,1,0,0,0,0,0,6,0
1090721,1,1,0,14,0,0,0,0,14
1014826,1,1,0,0,0,1,0,0,1
1183222,0,0,0,9,0,0,0,0,9
259798,0,1,0,0,0,0,0,1,0
60742,0,1,0,1,0,0,0,0,1
428387,1,1,5,0,0,9,0,2,14
554040,1,1,0,1,0,0,0,0,1
472647,1,1,2,0,0,2,0,0,4
953148,1,1,0,0,0,0,0,2,0
96956,0,1,0,0,0,0,0,2,0
328479,1,1,0,3,0,0,0,1,3
690944,0,0,0,0,0,0,0,4,0
647916,0,1,0,0,0,0,0,1,0
629491,1,1,0,2,0,0,0,0,2
1322858,0,1,1,0,0,0,0,0,1
610863,1,1,0,1,0,0,0,1,1
947246,1,1,1,4,0,0,0,0,5
1323790,1,1,0,0,0,3,0,0,3
1355838,1,1,0,0,0,0,0,8,0
42598,1,1,1,2,0,0,0,0,3
1333207,1,1,0,0,0,1,0,2,1
1187584,1,1,0,1,0,0,0,0,1
594772,1,1,0,0,0,0,0,1,0
773415,1,1,10,9,0,12,0,0,31
809801,0,1,0,1,0,0,0,0,1
501770,1,0,0,0,2,0,0,0,2
1177434,1,1,0,3,0,2,0,0,5
660882,1,1,1,0,0,0,0,0,1
178348,1,1,0,0,0,1,0,0,1
667810,1,1,0,0,0,2,0,0,2
117417,1,1,3,7,0,0,0,1,10
422035,0,0,0,1,0,0,0,2,1
191787,0,1,0,0,0,0,0,1,0
849809,1,1,0,1,0,0,0,2,1
767635,0,1,0,0,0,0,0,1,0
492193,1,1,1,0,0,1,0,0,2
1288243,1,1,0,3,0,0,0,0,3
566373,1,0,0,0,0,0,0,1,0
1377048,0,1,0,0,0,0,0,1,0
1160492,1,0,0,0,0,3,0,1,3
873273,1,1,0,9,0,0,0,0,9
1253310,1,0,0,0,1,0,0,0,1
66641,1,1,0,0,0,0,0,1,0
1054197,0,1,0,1,0,0,0,0,1
791211,1,1,0,0,0,0,0,1,0
995207,0,1,0,1,0,0,0,0,1
982352,0,1,0,5,0,0,0,0,5
1297121,1,1,0,0,0,11,0,0,11
892430,0,1,0,0,0,0,0,2,0
529313,1,1,0,0,0,0,0,1,0
775134,1,1,0,3,0,5,0,4,8
210408,0,1,0,0,0,0,0,1,0
1041461,1,0,0,0,0,0,0,1,0
552806,0,1,0,0,0,0,0,1,0
1281023,1,1,0,0,0,7,0,4,7
572374,1,0,0,0,0,0,0,3,0
126191,1,1,0,0,0,21,0,2,21
826477,0,1,0,0,0,0,0,8,0
347022,1,1,0,0,0,0,0,1,0
965743,1,1,9,0,1,3,4,0,17
1006157,1,1,0,4,0,0,0,1,4
1373602,0,1,0,0,0,0,0,1,0
985576,0,1,14,6,0,0,9,0,29
215080,1,1,0,0,0,0,0,1,0
648049,1,1,4,0,1,0,0,8,5
803922,1,1,0,0,0,0,0,6,0
1187408,0,0,0,1,0,0,0,0,1
303819,1,1,0,3,0,0,0,0,3
1029936,1,1,0,2,0,7,0,1,9
823333,0,1,0,0,0,0,0,1,0
4386,1,1,0,0,0,3,0,0,3
1274941,1,1,3,0,0,0,0,0,3
1298970,0,1,0,0,0,0,0,1,0
12253,1,1,0,1,0,0,0,0,1
280397,1,1,0,2,0,0,0,0,2
1192621,0,1,0,0,0,0,0,3,0
991662,0,1,0,0,0,0,0,1,0
1159802,1,1,0,0,0,6,0,0,6
81295,0,1,0,3,0,0,0,0,3
409525,0,1,0,1,0,0,0,0,1
890714,1,1,0,1,0,11,0,0,12
541907,0,1,0,3,0,0,0,1,3
728391,1,1,0,9,0,0,0,0,9
932055,0,1,0,0,0,0,0,3,0
113985,0,1,0,0,0,0,0,2,0
913876,0,1,0,0,0,0,0,1,0
638683,0,1,0,0,0,0,0,1,0
294024,1,1,0,0,0,1,0,0,1
971271,1,1,38,13,0,0,0,1,51
772570,1,1,0,3,0,0,0,0,3
1375883,1,1,0,2,0,0,0,0,2
1099334,0,1,0,4,0,0,0,1,4
968251,1,1,0,0,0,0,0,11,0
203267,0,0,0,0,0,0,0,1,0
298409,0,1,0,0,0,0,1,0,1
976726,1,1,0,0,0,0,0,1,0
291032,0,1,0,2,0,0,0,0,2
